id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
110,216005.875,0.16200440625,7.5e-07,717753.35159973,0.6818656840197435,9.5e-07,XDN,Bittrex,
111,1806.52256853,0.0013368267007122,7.4e-07,481899.4378635,0.46262346034895996,9.6e-07,XDN,Bittrex,
112,113424.65753425,0.0828000000000025,7.3e-07,195262.24225848,0.1894043749907256,9.7e-07,XDN,Bittrex,
113,455625.0,0.32805,7.2e-07,655930.35361263,0.6428117465403774,9.8e-07,XDN,Bittrex,
114,385820.28571429,0.270074200000003,7e-07,1196903.17286421,1.184934141135568,9.9e-07,XDN,Bittrex,
115,2000.0,0.00138,6.9e-07,1320671.57855787,1.3206715785578698,1e-06,XDN,Bittrex,
116,1307.95720588,0.0008894108999983999,6.8e-07,936664.58171543,0.9460312275325844,1.01e-06,XDN,Bittrex,
117,298513.10843283,0.20000378264999613,6.7e-07,41531.31166768,0.0423619379010336,1.02e-06,XDN,Bittrex,
118,119246.68159091,0.0787028098500006,6.6e-07,104613.63050394,0.10775203941905821,1.03e-06,XDN,Bittrex,
119,290854.57160672,0.189055471544368,6.5e-07,10056.0576923,0.010458299999992001,1.04e-06,XDN,Bittrex,
120,102415.3075814,0.064521643776282,6.3e-07,46775.27924554,0.049114043207816996,1.05e-06,XDN,Bittrex,
121,35000.0,0.020999999999999998,6e-07,1982.97166341,0.0021019499632146,1.06e-06,XDN,Bittrex,
122,6333.0,0.0037364699999999995,5.9e-07,255568.59652553,0.2734583982823171,1.07e-06,XDN,Bittrex,
123,350890.0,0.20000730000000003,5.7e-07,255616.99040176,0.2760663496339008,1.08e-06,XDN,Bittrex,
124,231154.51573554,0.1294465288119024,5.6e-07,697259.32859643,0.7600126681701087,1.09e-06,XDN,Bittrex,
125,9926.39454546,0.005459517000003,5.5e-07,723674.5261134,0.79604197872474,1.1e-06,XDN,Bittrex,
126,5030.0,0.0026659,5.3e-07,112341.24393374,0.1246987807664514,1.11e-06,XDN,Bittrex,
127,213364.67947115,0.110949633324998,5.2e-07,487006.14434603,0.5454468816675536,1.12e-06,XDN,Bittrex,
128,296588.23529412,0.1512600000000012,5.1e-07,201644.55526263,0.2278583474467719,1.13e-06,XDN,Bittrex,
129,1177478.23893385,0.588739119466925,5e-07,144725.30212527,0.16498684442280784,1.14e-06,XDN,Bittrex,
130,146768.75,0.070449,4.8e-07,291748.0422957,0.335510248640055,1.15e-06,XDN,Bittrex,
