coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1453487400.0,418.94,424.57,371.25,387.68,43367163.52,109853.86,22-01-2016 18:30,,,
BTC,Bitfinex,1453746600.0,386.71,407.33,384.0,389.41,22270431.99,56156.85000000001,25-01-2016 18:30,,,
BTC,Bitfinex,1454005800.0,390.49,396.99,360.03,378.8,34977255.89,92730.53,28-01-2016 18:30,,,
BTC,Bitfinex,1454265000.0,377.56,380.6,363.23,370.72,16996538.9,45572.02,31-01-2016 18:30,,,
BTC,Bitfinex,1454524200.0,372.43,393.89,365.65,392.57,22689393.94,59874.05,03-02-2016 18:30,,,
BTC,Bitfinex,1454783400.0,387.99,393.0,365.0,372.32,26051780.3,68931.33,06-02-2016 18:30,,,
BTC,Bitfinex,1455042600.0,373.16,387.0,369.01,380.88,22144088.34,58671.91,09-02-2016 18:30,,,
BTC,Bitfinex,1455301800.0,380.77,392.08,372.25,389.0,14316126.54,37454.46,12-02-2016 18:30,,,
BTC,Bitfinex,1455561000.0,394.57,412.5,393.0,407.31,28311457.21,70433.92,15-02-2016 18:30,,,
BTC,Bitfinex,1455820200.0,407.62,426.21,405.16,419.06,27868058.06,66702.15,18-02-2016 18:30,,,
BTC,Bitfinex,1456079400.0,420.59,451.6,420.09,440.02,45448871.59,103833.12,21-02-2016 18:30,,,
BTC,Bitfinex,1456338600.0,440.7,442.67,409.69,425.36,28483968.55,67168.01,24-02-2016 18:30,,,
BTC,Bitfinex,1456597800.0,423.61,438.6,419.83,434.4,20057951.22,46664.31,27-02-2016 18:30,,,
BTC,Bitfinex,1456857000.0,432.51,445.0,423.76,424.53,23448986.54,53912.02,01-03-2016 18:30,,,
BTC,Bitfinex,1457116200.0,422.49,424.34,389.0,397.42,35120390.120000005,86099.75,04-03-2016 18:30,,,
BTC,Bitfinex,1457375400.0,396.63,416.0,392.01,411.53,17658830.580000002,43437.15,07-03-2016 18:30,,,
BTC,Bitfinex,1457634600.0,410.35,423.6,407.47,420.0,15634780.18,37545.96,10-03-2016 18:30,,,
BTC,Bitfinex,1457893800.0,420.22,421.81,406.38,415.22,13852697.04,33521.83,13-03-2016 18:30,,,
BTC,Bitfinex,1458153000.0,415.99,420.6,412.78,418.58,10113678.55,24260.37,16-03-2016 18:30,,,
BTC,Bitfinex,1458412200.0,417.96,418.86,403.01,411.92,14236208.68,34782.85,19-03-2016 18:30,,,
BTC,Bitfinex,1458671400.0,411.0,419.72,406.0,417.32,10233828.78,24677.66,22-03-2016 18:30,,,
BTC,Bitfinex,1458930600.0,417.32,419.4,413.03,416.7,7197926.039999999,17299.25,25-03-2016 18:30,,,
BTC,Bitfinex,1459189800.0,416.71,431.0,406.51,415.99,23031162.520000003,54716.3,28-03-2016 18:30,,,
BTC,Bitfinex,1459449000.0,415.21,418.25,408.58,416.8,8684969.97,20937.74,31-03-2016 18:30,,,
BTC,Bitfinex,1459708200.0,417.55,422.8,416.0,420.54,6330001.98,15081.81,03-04-2016 18:30,,,
BTC,Bitfinex,1459967400.0,420.01,425.0,417.78,421.26,8601754.120000001,20379.01,06-04-2016 18:30,,,
BTC,Bitfinex,1460226600.0,421.34,424.49,412.0,420.75,8473713.629999999,20219.76,09-04-2016 18:30,,,
BTC,Bitfinex,1460485800.0,421.43,430.0,418.8,424.95,11574484.6,27215.34,12-04-2016 18:30,,,
BTC,Bitfinex,1460745000.0,424.71,435.67,424.01,431.99,11736004.9,27293.46,15-04-2016 18:30,,,
BTC,Bitfinex,1461004200.0,432.32,439.0,426.37,437.73,11612069.38,26939.83,18-04-2016 18:30,,,
BTC,Bitfinex,1461263400.0,438.35,454.5,436.6,447.69,22469536.25,50449.12,21-04-2016 18:30,,,
BTC,Bitfinex,1461522600.0,447.8,471.58,445.67,466.43,26036482.49,56768.38000000001,24-04-2016 18:30,,,
BTC,Bitfinex,1461781800.0,463.89,471.99,435.0,450.59,36741221.9,80772.62,27-04-2016 18:30,,,
BTC,Bitfinex,1462041000.0,450.6,457.49,445.01,450.04,12137538.94,26899.44,30-04-2016 18:30,,,
BTC,Bitfinex,1462300200.0,451.82,452.5,436.0,447.09,21545883.59,48466.84,03-05-2016 18:30,,,
BTC,Bitfinex,1462559400.0,447.25,466.0,445.51,460.4,20348556.92,44631.35,06-05-2016 18:30,,,
BTC,Bitfinex,1462818600.0,459.04,465.4,445.01,448.99,19703336.020000003,43107.2,09-05-2016 18:30,,,
BTC,Bitfinex,1463077800.0,451.84,457.5,445.91,456.24,14413347.400000002,31884.94,12-05-2016 18:30,,,
BTC,Bitfinex,1463337000.0,456.25,460.67,451.0,454.47,8083193.56,17716.72,15-05-2016 18:30,,,
