coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1528309800.0,7517.5,7740.0,7515.0,7730.0,35251672.690000005,4615.030000000002,06-06-2018 18:30,7796.434624421154,7607.360000000001,7418.285375578847
BTC,Bitfinex,1528331400.0,7730.0,7756.3,7674.0,7709.7,29195675.7,3780.27,07-06-2018 00:30,7803.157768907295,7609.9800000000005,7416.802231092706
BTC,Bitfinex,1528353000.0,7709.7,7735.9,7680.0,7707.5,13491719.94,1751.35,07-06-2018 06:30,7810.854385000055,7613.375,7415.895614999945
BTC,Bitfinex,1528374600.0,7707.5,7752.8,7651.0,7691.6,21092314.34,2741.49,07-06-2018 12:30,7815.010974361734,7615.290000000001,7415.569025638268
BTC,Bitfinex,1528396200.0,7691.6,7704.2,7624.7,7696.9,11813597.68,1540.91,07-06-2018 18:30,7820.006521365498,7617.629999999999,7415.2534786345
BTC,Bitfinex,1528417800.0,7696.9,7696.9,7597.1,7649.0,20130830.500000004,2633.100000000001,08-06-2018 00:30,7811.1044009753805,7613.93,7416.75559902462
BTC,Bitfinex,1528439400.0,7649.0,7658.0,7543.6,7559.2,28210352.71,3716.17,08-06-2018 06:30,7799.377450273144,7606.26,7413.1425497268565
BTC,Bitfinex,1528461000.0,7559.2,7663.7,7550.0,7646.0,33066127.610000007,4347.5,08-06-2018 12:30,7794.7629798223925,7604.2300000000005,7413.6970201776085
BTC,Bitfinex,1528482600.0,7646.0,7663.0,7609.2,7634.0,11109744.6,1454.74,08-06-2018 18:30,7784.165024447219,7600.094999999999,7416.024975552779
BTC,Bitfinex,1528504200.0,7634.0,7685.0,7630.0,7669.5,7178303.369999999,936.9,09-06-2018 00:30,7790.886893828005,7604.754999999999,7418.623106171994
BTC,Bitfinex,1528525800.0,7669.5,7669.6,7593.2,7608.3,10728991.21,1405.0700000000004,09-06-2018 06:30,7791.653206667351,7608.615,7425.576793332649
BTC,Bitfinex,1528547400.0,7608.3,7629.5,7570.47,7608.3,12007803.11,1580.41,09-06-2018 12:30,7789.759236378552,7614.279999999999,7438.800763621446
BTC,Bitfinex,1528569000.0,7608.3,7637.6,7266.4,7270.1,50941908.56,6846.82,09-06-2018 18:30,7829.202987248743,7602.99,7376.777012751257
BTC,Bitfinex,1528590600.0,7270.1,7384.8,7267.0,7306.2,42322479.88,5788.67,10-06-2018 00:30,7847.266166910062,7596.700000000002,7346.133833089942
BTC,Bitfinex,1528612200.0,7306.2,7306.2,7175.0,7227.9,49166148.45,6807.769999999999,10-06-2018 06:30,7875.023066810967,7587.675,7300.326933189033
BTC,Bitfinex,1528633800.0,7227.9,7278.9,6630.0,6739.5,144315665.07999998,20963.88,10-06-2018 12:30,8011.0514236524,7543.635,7076.2185763476
BTC,Bitfinex,1528655400.0,6739.5,6844.9,6655.0,6714.4,99853933.51,14816.07,10-06-2018 18:30,8087.850468416935,7498.764999999999,6909.679531583064
BTC,Bitfinex,1528677000.0,6714.4,6807.3,6689.4,6734.8,31252880.56,4632.300000000001,11-06-2018 00:30,8126.295243584551,7453.889999999999,6781.484756415448
BTC,Bitfinex,1528698600.0,6734.8,6821.1,6629.7,6764.1,38058167.85,5646.4,11-06-2018 06:30,8137.941506949033,7409.225,6680.508493050967
BTC,Bitfinex,1528720200.0,6764.1,6774.7,6636.7,6744.7,42748766.81,6370.01,11-06-2018 12:30,8152.268790992241,7370.585000000001,6588.901209007761
BTC,Bitfinex,1528741800.0,6744.7,6899.0,6723.2,6842.8,37985258.96,5583.07,11-06-2018 18:30,8121.859264910707,7326.225,6530.590735089294
BTC,Bitfinex,1528763400.0,6842.8,6865.4,6784.1,6832.0,24845058.43,3634.56,12-06-2018 00:30,8085.316566034152,7282.339999999999,6479.3634339658465
BTC,Bitfinex,1528785000.0,6832.0,6868.6,6683.18,6722.4,31750678.99,4660.16,12-06-2018 06:30,8046.486193200501,7233.084999999999,6419.683806799498
BTC,Bitfinex,1528806600.0,6722.4,6778.7,6661.2,6684.15,45506228.73,6771.6,12-06-2018 12:30,8001.05880314739,7182.7125,6364.366196852609
BTC,Bitfinex,1528828200.0,6684.15,6684.2,6436.1,6543.9,95272022.61,14611.38,12-06-2018 18:30,7952.791384886229,7125.0625,6297.333615113771
BTC,Bitfinex,1528849800.0,6543.9,6611.7,6517.45,6570.0,23196314.98,3532.69,13-06-2018 00:30,7895.86062632403,7071.112499999998,6246.364373675967
BTC,Bitfinex,1528871400.0,6570.0,6578.6,6370.0,6456.3,66561784.45,10295.8,13-06-2018 06:30,7850.232798496227,7015.967499999999,6181.702201503771
BTC,Bitfinex,1528893000.0,6456.3,6484.8,6107.88,6321.9,139419252.24,22160.47,13-06-2018 12:30,7783.683316909494,6949.762499999999,6115.8416830905035
BTC,Bitfinex,1528914600.0,6321.9,6349.5,6214.26,6273.2,45148063.77,7181.589999999998,13-06-2018 18:30,7703.195162037515,6881.722500000001,6060.249837962487
BTC,Bitfinex,1528936200.0,6273.2,6535.8,6269.6,6476.1,43130735.5,6701.63,14-06-2018 00:30,7576.61365953248,6822.0525,6067.49134046752
BTC,Bitfinex,1528957800.0,6476.1,6550.0,6442.1,6486.0,36064820.6,5548.6,14-06-2018 06:30,7441.00505282342,6765.9375,6090.86994717658
BTC,Bitfinex,1528979400.0,6486.0,6736.52,6322.0,6650.0,87927944.68,13519.65,14-06-2018 12:30,7272.374551024438,6718.022500000001,6163.670448975564
BTC,Bitfinex,1529001000.0,6650.0,6709.14,6580.0,6614.3,28664170.37,4322.2,14-06-2018 18:30,7179.397673069693,6685.2325,6191.067326930307
BTC,Bitfinex,1529022600.0,6614.3,6618.5,6550.2,6580.6,22400052.5,3405.54,15-06-2018 00:30,7053.9262392412,6648.952499999999,6243.978760758799
BTC,Bitfinex,1529044200.0,6580.6,6659.0,6450.0,6502.73,38555960.58,5888.58,15-06-2018 06:30,6922.508745510927,6612.694,6302.879254489074
BTC,Bitfinex,1529065800.0,6502.73,6632.81,6476.3,6547.6,24038612.29,3679.86,15-06-2018 12:30,6908.465032616597,6603.099,6297.732967383404
BTC,Bitfinex,1529087400.0,6547.6,6548.0,6350.0,6394.7,45435160.37000001,7068.85,15-06-2018 18:30,6900.857173783908,6587.114,6273.370826216091
BTC,Bitfinex,1529109000.0,6394.7,6477.0,6384.2,6457.2,12824101.22,1990.69,16-06-2018 00:30,6884.163992210467,6573.234000000001,6262.304007789536
BTC,Bitfinex,1529130600.0,6457.2,6499.7,6413.2,6432.9,19411734.97,3006.29,16-06-2018 06:30,6860.3733348296955,6556.673999999999,6252.974665170303
BTC,Bitfinex,1529152200.0,6432.9,6548.0,6330.0,6510.0,37922275.11,5886.479999999999,16-06-2018 12:30,6836.567843216852,6544.938999999999,6253.310156783146
BTC,Bitfinex,1529173800.0,6510.0,6559.7,6466.0,6507.6,14662866.07,2248.73,16-06-2018 18:30,6785.974261624414,6528.179,6270.383738375586
BTC,Bitfinex,1529195400.0,6507.6,6552.9,6501.7,6509.2,8270500.960000001,1267.11,17-06-2018 00:30,6728.896093487854,6512.039,6295.181906512145
BTC,Bitfinex,1529217000.0,6509.2,6573.0,6440.0,6455.6,18169174.19,2791.42,17-06-2018 06:30,6693.896076504747,6498.699,6303.501923495252
BTC,Bitfinex,1529238600.0,6455.6,6523.0,6425.1,6503.0,13024593.86,2009.56,17-06-2018 12:30,6665.422700618838,6489.6415,6313.860299381162
BTC,Bitfinex,1529260200.0,6503.0,6540.0,6370.77,6401.72,24393400.75,3782.84,17-06-2018 18:30,6660.4485477163325,6482.5325,6304.616452283668
BTC,Bitfinex,1529281800.0,6401.72,6465.4,6377.7,6435.8,20473375.13,3189.18,18-06-2018 00:30,6650.12309160829,6475.8225,6301.52190839171
BTC,Bitfinex,1529303400.0,6435.8,6500.6,6390.0,6420.0,18741354.54,2911.49,18-06-2018 06:30,6649.832765633242,6474.007500000001,6298.182234366759
BTC,Bitfinex,1529325000.0,6420.0,6827.9,6401.0,6721.1,74551555.03000002,11199.64,18-06-2018 12:30,6686.072991943881,6493.967500000001,6301.86200805612
BTC,Bitfinex,1529346600.0,6721.1,6736.0,6674.0,6720.2,31188015.33,4647.169999999999,18-06-2018 18:30,6704.453092153638,6516.3175,6328.181907846362
BTC,Bitfinex,1529368200.0,6720.2,6727.0,6655.0,6680.7,22865273.49,3416.78,19-06-2018 00:30,6726.690501963597,6526.547500000001,6326.404498036404
BTC,Bitfinex,1529389800.0,6680.7,6789.0,6664.5,6761.8,43581202.53,6476.71,19-06-2018 06:30,6764.02588287895,6540.3375,6316.649117121049
BTC,Bitfinex,1529411400.0,6761.8,6848.2,6666.0,6709.0,36949730.44000001,5480.59,19-06-2018 12:30,6774.124926850587,6543.2875,6312.450073149414
BTC,Bitfinex,1529433000.0,6709.0,6749.0,6670.0,6670.1,12798352.6,1906.33,19-06-2018 18:30,6781.582294505335,6546.0775,6310.572705494666
BTC,Bitfinex,1529454600.0,6670.1,6678.9,6560.0,6628.9,35864660.29,5433.410000000002,20-06-2018 00:30,6786.342730260557,6548.492499999999,6310.642269739442
BTC,Bitfinex,1529476200.0,6628.9,6665.0,6609.7,6618.4,12464110.079999998,1880.38,20-06-2018 06:30,6793.017506604947,6554.276,6315.534493395053
BTC,Bitfinex,1529497800.0,6618.4,6825.0,6592.0,6752.6,56636113.93,8402.77,20-06-2018 12:30,6818.366156350408,6564.526,6310.685843649591
BTC,Bitfinex,1529519400.0,6752.6,6780.0,6701.0,6754.3,17648954.53,2619.63,20-06-2018 18:30,6836.624798076805,6582.505999999999,6328.387201923194
BTC,Bitfinex,1529541000.0,6754.3,6788.8,6737.0,6767.8,12440115.81,1841.25,21-06-2018 00:30,6857.531846779867,6598.036,6338.540153220133
BTC,Bitfinex,1529562600.0,6767.8,6783.11,6679.3,6716.0,26038674.62,3867.61,21-06-2018 06:30,6864.907757964327,6612.191000000001,6359.474242035674
BTC,Bitfinex,1529584200.0,6716.0,6750.0,6687.2,6698.8,20645092.53,3074.76,21-06-2018 12:30,6872.471445375142,6621.630999999999,6370.790554624857
BTC,Bitfinex,1529605800.0,6698.8,6750.0,6698.8,6719.0,10357705.32,1541.46,21-06-2018 18:30,6880.735826686323,6632.201000000001,6383.666173313679
BTC,Bitfinex,1529627400.0,6719.0,6722.2,6616.34,6642.7,29029672.23,4359.27,22-06-2018 00:30,6880.924619446589,6638.875999999999,6396.82738055341
BTC,Bitfinex,1529649000.0,6642.7,6642.8,6286.3,6334.1,101412717.96,15781.839999999998,22-06-2018 06:30,6897.941670731594,6632.8009999999995,6367.660329268405
BTC,Bitfinex,1529670600.0,6334.1,6336.8,6075.0,6209.9,98956279.18,16048.47,22-06-2018 12:30,6937.269628733443,6618.146000000001,6299.022371266558
BTC,Bitfinex,1529692200.0,6209.9,6228.9,5910.8,6129.2,116561663.14,19308.68,22-06-2018 18:30,6978.074299132,6604.5199999999995,6230.965700867999
BTC,Bitfinex,1529713800.0,6129.2,6148.9,6013.0,6038.0,23746577.04,3901.53,23-06-2018 00:30,7027.863640871267,6584.629999999999,6141.396359128731
BTC,Bitfinex,1529735400.0,6038.0,6163.6,6028.9,6116.5,32173883.709999993,5266.04,23-06-2018 06:30,7053.132030568952,6569.454999999999,6085.777969431046
BTC,Bitfinex,1529757000.0,6116.5,6146.0,6060.4,6120.0,26571970.54,4352.839999999998,23-06-2018 12:30,7055.280776924281,6539.4,6023.519223075718
BTC,Bitfinex,1529778600.0,6120.0,6259.0,6096.0,6117.7,35751725.8,5793.460000000001,23-06-2018 18:30,7049.211443945025,6509.275,5969.338556054974
BTC,Bitfinex,1529800200.0,6117.7,6125.8,5800.0,5869.0,80911175.72999999,13631.09,24-06-2018 00:30,7069.569275395649,6468.6900000000005,5867.810724604352
BTC,Bitfinex,1529821800.0,5869.0,5920.0,5800.0,5900.0,38204327.09,6510.93,24-06-2018 06:30,7058.9465717914645,6425.6,5792.253428208536
BTC,Bitfinex,1529843400.0,5900.0,6249.7,5755.0,6176.5,120105479.75,20000.63,24-06-2018 12:30,7027.178285171289,6398.974999999999,5770.77171482871
BTC,Bitfinex,1529865000.0,6176.5,6209.6,6105.0,6158.9,29235829.68,4743.04,24-06-2018 18:30,6996.994634930455,6373.414999999999,5749.8353650695435
BTC,Bitfinex,1529886600.0,6158.9,6195.0,6107.4,6164.3,25156241.07,4091.42,25-06-2018 00:30,6968.557322391615,6350.1849999999995,5731.812677608384
BTC,Bitfinex,1529908200.0,6164.3,6245.3,6068.5,6106.6,49077446.73,7956.1,25-06-2018 06:30,6938.796766441616,6324.595,5710.393233558385
BTC,Bitfinex,1529929800.0,6106.6,6341.0,6078.7,6263.8,65885497.72,10577.91,25-06-2018 12:30,6882.354369546207,6300.155000000001,5717.955630453795
BTC,Bitfinex,1529951400.0,6263.8,6280.0,6190.0,6197.1,31485008.970000006,5043.9,25-06-2018 18:30,6817.020543645606,6272.295000000001,5727.569456354396
BTC,Bitfinex,1529973000.0,6197.1,6280.8,6191.3,6242.0,13296723.68,2131.74,26-06-2018 00:30,6741.019926946653,6246.005,5750.990073053347
BTC,Bitfinex,1529994600.0,6242.0,6242.1,6162.1,6208.2,23007032.27,3706.37,26-06-2018 06:30,6666.224642063545,6220.615000000001,5775.005357936457
BTC,Bitfinex,1530016200.0,6208.2,6240.0,6121.0,6166.4,34490959.53,5584.0999999999985,26-06-2018 12:30,6582.053152729717,6193.995000000001,5805.9368472702845
BTC,Bitfinex,1530037800.0,6166.4,6261.7,6026.0,6087.1,43236635.39,7063.700000000002,26-06-2018 18:30,6468.595055479346,6162.4,5856.204944520653
BTC,Bitfinex,1530059400.0,6087.1,6114.0,6035.5,6074.0,20507380.76,3373.9600000000005,27-06-2018 00:30,6348.316368318468,6133.964999999999,5919.61363168153
BTC,Bitfinex,1530081000.0,6074.0,6134.0,6057.0,6094.8,19782149.24,3247.97,27-06-2018 06:30,6316.087196898714,6122.000000000001,5927.912803101288
BTC,Bitfinex,1530102600.0,6094.8,6173.5,5984.9,6121.3,40359544.28,6630.79,27-06-2018 12:30,6307.428253441878,6117.570000000001,5927.711746558123
BTC,Bitfinex,1530124200.0,6121.3,6192.7,6114.5,6141.6,22716240.1,3697.07,27-06-2018 18:30,6308.276968517045,6118.1900000000005,5928.103031482956
