coin,exchange,unix_timestamp,time,open,high,low,close,volumefrom,volumeto,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1529373600,19-06-2018 02:00,6714.1,6717.5,6680.0,6686.1,478.03,3203972.87,6854.761982489544,6587.95,6321.138017510457
BTC,Bitfinex,1529377200,19-06-2018 03:00,6686.1,6702.9,6680.0,6685.8,387.87,2592779.52,6860.942970424523,6600.44,6339.937029575476
BTC,Bitfinex,1529380800,19-06-2018 04:00,6685.8,6709.0,6685.8,6704.2,205.09,1374168.76,6868.831956808899,6612.425000000001,6356.018043191103
BTC,Bitfinex,1529384400,19-06-2018 05:00,6704.2,6727.0,6680.0,6703.4,736.8,4936933.37,6873.493880753565,6624.8449999999975,6376.196119246436
BTC,Bitfinex,1529388000,19-06-2018 06:00,6703.4,6705.0,6655.0,6680.7,1431.99,9568485.88,6870.250784771298,6637.38,6404.5092152287025
BTC,Bitfinex,1529391600,19-06-2018 07:00,6680.7,6702.5,6664.5,6701.9,927.13,6193971.56,6864.017148477135,6651.2199999999975,6438.422851522864
BTC,Bitfinex,1529395200,19-06-2018 08:00,6701.9,6711.3,6691.0,6695.6,468.81,3142953.09,6849.998518912989,6665.0,6480.001481087011
BTC,Bitfinex,1529398800,19-06-2018 09:00,6695.6,6721.7,6695.6,6715.0,438.93,2944989.79,6831.106711512373,6679.135,6527.163288487627
BTC,Bitfinex,1529402400,19-06-2018 10:00,6715.0,6754.3,6691.0,6713.0,996.31,6689807.64,6803.963528324251,6692.085000000001,6580.2064716757495
BTC,Bitfinex,1529406000,19-06-2018 11:00,6713.0,6780.0,6712.5,6721.1,1383.32,9324063.15,6744.01608870999,6704.99,6665.9639112900095
BTC,Bitfinex,1529409600,19-06-2018 12:00,6721.1,6789.0,6719.6,6761.8,2262.21,15285417.3,6746.509340842329,6710.914999999999,6675.320659157668
BTC,Bitfinex,1529413200,19-06-2018 13:00,6761.8,6848.2,6748.0,6756.4,2055.2,13942809.94,6752.638510405926,6712.385,6672.131489594073
BTC,Bitfinex,1529416800,19-06-2018 14:00,6756.4,6757.8,6716.7,6741.8,1135.18,7649410.05,6755.5379106794235,6713.42,6671.302089320576
BTC,Bitfinex,1529420400,19-06-2018 15:00,6741.8,6755.0,6728.9,6738.3,392.63,2646340.07,6758.285589516871,6715.3899999999985,6672.4944104831275
BTC,Bitfinex,1529424000,19-06-2018 16:00,6738.3,6739.5,6666.0,6709.6,1386.33,9279313.08,6756.782650807181,6714.365,6671.947349192818
BTC,Bitfinex,1529427600,19-06-2018 17:00,6709.6,6724.5,6698.09,6716.4,367.15,2464445.38,6756.59635235038,6714.225,6671.853647649622
BTC,Bitfinex,1529431200,19-06-2018 18:00,6716.4,6716.8,6708.9,6709.0,144.1,967411.92,6756.5715368912215,6714.1799999999985,6671.7884631087745
BTC,Bitfinex,1529434800,19-06-2018 19:00,6709.0,6748.4,6709.0,6738.1,266.58,1793449.79,6759.192918242671,6715.625,6672.057081757329
BTC,Bitfinex,1529438400,19-06-2018 20:00,6738.1,6749.0,6681.0,6699.9,449.7,3019007.13,6758.647615739275,6714.610000000002,6670.572384260728
BTC,Bitfinex,1529442000,19-06-2018 21:00,6699.9,6722.6,6695.0,6717.0,171.26,1148683.58,6758.804039717115,6714.755,6670.705960282885
BTC,Bitfinex,1529445600,19-06-2018 22:00,6717.0,6729.0,6703.6,6724.0,125.9,845652.12,6758.826130690238,6716.65,6674.4738693097615
BTC,Bitfinex,1529449200,19-06-2018 23:00,6724.0,6747.0,6711.8,6735.5,240.64,1620659.93,6759.568217779444,6719.135,6678.701782220555
BTC,Bitfinex,1529452800,20-06-2018 00:00,6735.5,6739.9,6670.0,6670.1,652.25,4370900.05,6762.811630645008,6717.43,6672.048369354991
BTC,Bitfinex,1529456400,20-06-2018 01:00,6670.1,6678.9,6560.0,6620.0,2861.88,18891829.29,6775.3010315839465,6713.26,6651.218968416056
BTC,Bitfinex,1529460000,20-06-2018 02:00,6620.0,6620.1,6589.5,6604.2,744.0,4911243.83,6786.618891454113,6709.435,6632.251108545889
BTC,Bitfinex,1529463600,20-06-2018 03:00,6604.2,6615.4,6598.7,6607.8,312.75,2066989.75,6793.743394497683,6704.730000000001,6615.716605502318
BTC,Bitfinex,1529467200,20-06-2018 04:00,6607.8,6607.8,6576.0,6596.8,811.26,5346393.42,6800.481983792156,6699.789999999999,6599.098016207842
BTC,Bitfinex,1529470800,20-06-2018 05:00,6596.8,6610.58,6590.0,6590.6,357.88,2361432.11,6804.576055690669,6693.57,6582.56394430933
BTC,Bitfinex,1529474400,20-06-2018 06:00,6590.6,6645.0,6590.0,6628.9,345.64,2286771.89,6803.437578212295,6689.3650000000025,6575.292421787706
BTC,Bitfinex,1529478000,20-06-2018 07:00,6628.9,6636.2,6611.5,6627.1,245.91,1628328.55,6800.84656953665,6684.664999999999,6568.483430463347
